decile,coef_base,se_base,t_base,coef_size,se_size,t_size,n
1,0.026001948240746538,0.1020099138670541,0.2548962865965552,0.06820268736835665,0.09579069126030472,0.7119970267572291,28448
2,-0.0032602123524360293,0.15173002323314727,-0.021486929764891752,0.0026465403594111243,0.15102547011160714,0.017523801498219756,23732
3,0.26632801376119475,0.11948743616543527,2.2289206489664126,0.2666341731993112,0.12128219218747996,2.1984610303476693,21634
4,-0.11851414488954587,0.1212991561806094,-0.9770401429098422,-0.10124079042264565,0.12425235460967898,-0.8147997737401366,20435
5,0.010366465242841577,0.11106188269074554,0.09333954180938249,0.019188315397799575,0.11269194736228642,0.1702722851714705,19200
6,-0.0911356082838549,0.14373655017772624,-0.6340461641187872,-0.0780823820910821,0.14210082566801546,-0.5494857733867281,18737
7,-0.2792886413556058,0.10001658589644323,-2.792423265125048,-0.27891556052097627,0.09669021737798109,-2.8846306077753496,17684
8,-0.11867590991065323,0.11563865523705792,-1.0262650466435204,-0.11326095328769398,0.10769556576277187,-1.051677035033934,16315
9,-0.009469462305109257,0.08718323650490467,-0.10861563168254866,0.010809072479098566,0.0962924558434065,0.11225253717359317,14113
10,-0.0450426388297916,0.031063268642187204,-1.4500289505470436,-0.034697508291241914,0.027378522889991957,-1.26732579513723,11291
