hq_state,post2015,pre2015,change,state,pass3_panel_mean_pct
US-AK,0.42404326299693657,0.4136232881600198,0.010419974836916757,AK,24.192542791982284
US-AL,0.5158854140136225,0.443118996294894,0.07276641771872855,AL,23.525062218173804
US-AR,0.48861714516074034,0.4320455373685075,0.05657160779223286,AR,21.24467579406488
US-AZ,0.5391849091213006,0.515112846131089,0.024072062990211585,AZ,24.574494943387243
US-CA,0.5071114252121044,0.45198983268638543,0.055121592525718965,CA,25.056977498039696
US-CO,0.5356113943679359,0.46267553458874905,0.07293585977918687,CO,24.3544741632754
US-CT,0.5520787464660379,0.4736989493669068,0.07837979709913112,CT,26.813507980346834
US-DC,0.4960925450023044,0.463185800902181,0.0329067441001234,DC,27.324648496100068
US-DE,0.5341045042532131,0.5110181878757968,0.023086316377416316,DE,25.8265992089702
US-FL,0.4768292210332659,0.4083047305201498,0.0685244905131161,FL,23.02672088063084
US-GA,0.5281970778285237,0.45791320334932156,0.07028387447920209,GA,23.65856565917972
US-HI,0.4370022702405243,0.3796551307048291,0.0573471395356952,HI,28.04274654306472
US-IA,0.3963147247758474,0.3133031701838496,0.08301155459199777,IA,24.45956282919032
US-ID,0.5972268646085037,0.4430688384181975,0.15415802619030622,ID,23.531476844238224
US-IL,0.5559443400393184,0.507428531500516,0.04851580853880233,IL,24.004669532871908
US-IN,0.49975699475296403,0.3923825182634353,0.10737447648952875,IN,23.47122398315705
US-KS,0.4579639835199347,0.34966852819053873,0.108295455329396,KS,23.751544250403192
US-KY,0.42883826945816317,0.3710733489267255,0.05776492053143767,KY,22.508371391385605
US-LA,0.4460203101608979,0.4393915027057788,0.006628807455119068,LA,21.520574256932413
US-MA,0.552153421172002,0.4698366571802326,0.08231676399176935,MA,24.97479068074635
US-MD,0.4281756980497034,0.38484506146237063,0.04333063658733277,MD,25.69941241694158
US-ME,0.4500351566989385,0.3434257264843505,0.10660943021458802,ME,25.1743648348112
US-MI,0.5507069565936172,0.5045289389230152,0.046178017670602034,MI,23.764486799568576
US-MN,0.48755292100434944,0.4173998890185489,0.07015303198580053,MN,28.02624226394505
US-MO,0.5554068239535418,0.4358250102274698,0.11958181372607202,MO,24.811136951232225
US-MS,0.4340297393605543,0.30788923600442125,0.12614050335613303,MS,20.62393938684535
US-MT,0.5120371323528569,0.4016336214090008,0.11040351094385609,MT,24.767419293680117
US-NC,0.49830898324810374,0.3781485752594562,0.12016040798864752,NC,24.30672992775761
US-ND,0.411287216874533,0.49535023450378857,-0.08406301762925555,ND,24.800473619195856
US-NE,0.46341457281019216,0.3917786123472406,0.07163596046295156,NE,25.333220310510807
US-NH,0.45944376775838935,0.38422888028068775,0.07521488747770161,NH,27.36394889535764
US-NJ,0.44874627664373906,0.38225512674967876,0.0664911498940603,NJ,26.563780394298654
US-NM,0.7564011576344606,0.25206587715063505,0.5043352804838255,NM,24.014013436817887
US-NV,0.47716044485285236,0.3976618777932619,0.07949856705959046,NV,24.742373894877847
US-NY,0.45308956828116387,0.4091581217261059,0.043931446555057985,NY,24.86469021663052
US-OH,0.5170247454787859,0.4677717757880465,0.049252969690739334,OH,21.032100687305448
US-OK,0.5437409692130787,0.4617143720361936,0.0820265971768851,OK,21.95089544757035
US-OR,0.4796669229251056,0.48453063121111306,-0.004863708286007462,OR,22.8832262678608
US-PA,0.49641191345436314,0.44651309079083057,0.04989882266353257,PA,24.89168489595998
US-RI,0.5354531140317617,0.4247847429206828,0.11066837111107886,RI,25.23570222258844
US-SC,0.5131624208566581,0.38655805062808235,0.12660437022857574,SC,23.50781183186948
US-SD,0.6341965330510607,0.5048531304019649,0.12934340264909583,SD,26.44097491165612
US-TN,0.588652810904895,0.49235897560074643,0.09629383530414853,TN,22.209684472692054
US-TX,0.5222280716936908,0.462083373287435,0.0601446984062558,TX,21.37668085863281
US-UT,0.47402832804428935,0.44699405934770425,0.027034268696585095,UT,25.250032227834467
US-VA,0.5078091799906048,0.42415237433370306,0.08365680565690176,VA,24.957974039131283
US-VT,0.37162428569412165,0.3065276737220201,0.06509661197210154,VT,24.135603132040547
US-WA,0.4976902049865903,0.43352951502809806,0.06416068995849222,WA,25.10560314164316
US-WI,0.5334637394380305,0.4898853943998523,0.0435783450381782,WI,25.369873833852903
US-WV,0.4082346602413065,0.31675182210342473,0.09148283813788177,WV,21.39469835326997
US-WY,0.7194580296038882,0.33478861303886126,0.3846694165650269,WY,24.59975302089125
